Species,Latitude(Y),Longitude(X)
Cervus nippon taiouanus,36.56659167,127.8513083
Cervus nippon taiouanus,36.56575556,127.8509611
Cervus nippon taiouanus,36.56442778,127.848875
Cervus nippon taiouanus,36.55376389,127.8522889
Cervus nippon taiouanus,36.55374444,127.8521472
Cervus nippon taiouanus,36.55546389,127.8537611
Cervus nippon taiouanus,36.55542222,127.8537944
Cervus nippon taiouanus,36.55612778,127.8550889
Cervus nippon taiouanus,36.55540833,127.8536583
Cervus nippon taiouanus,36.55551111,127.8537306
Cervus nippon taiouanus,36.55629167,127.8537306
Cervus nippon taiouanus,36.55593333,127.8543611
Cervus nippon taiouanus,36.555175,127.8541972
Cervus nippon taiouanus,36.49846944,127.8229389
Cervus nippon taiouanus,36.49856944,127.8234861
Cervus nippon taiouanus,36.46854722,127.8228222
Cervus nippon taiouanus,36.57566389,127.8974833
Cervus nippon taiouanus,36.57493611,127.8960833
Cervus nippon taiouanus,36.57333333,127.8935222
Cervus nippon taiouanus,36.57465833,127.8981944
Cervus nippon taiouanus,36.57530833,127.8975778
Cervus nippon taiouanus,36.57576944,127.8971167
Cervus nippon taiouanus,36.5756,127.8970556
Cervus nippon taiouanus,36.57550556,127.8967889
Cervus nippon taiouanus,36.57341667,127.8935083
Cervus nippon taiouanus,36.5907,127.8569083
Cervus nippon taiouanus,36.59014167,127.8584278
Cervus nippon taiouanus,36.58759722,127.8599972
Cervus nippon taiouanus,36.58733889,127.8606278
Cervus nippon taiouanus,36.58663333,127.806611
Cervus nippon taiouanus,36.58529167,127.8607306
Cervus nippon taiouanus,36.585225,127.8607056
Cervus nippon taiouanus,36.58421667,127.8615472
Cervus nippon taiouanus,36.58987222,127.8588639
Cervus nippon taiouanus,36.59046667,127.8578028
Cervus nippon taiouanus,36.58424722,127.8615083
Cervus nippon taiouanus,36.58576389,127.8606056
Cervus nippon taiouanus,36.58569167,127.8607556
Cervus nippon taiouanus,36.54951667,127.8577694
Cervus nippon taiouanus,36.58580278,127.882475
Cervus nippon taiouanus,36.58585,127.8823972
Cervus nippon taiouanus,36.58610556,127.8824972
Cervus nippon taiouanus,36.55639722,127.8639583
Cervus nippon taiouanus,36.58596111,127.8827528
Cervus nippon taiouanus,36.58566667,127.8827667
Cervus nippon taiouanus,36.5662043,127.8518736
Cervus nippon taiouanus,36.5395556,127.8420833
Cervus nippon taiouanus,36.5391944,127.8414167
Cervus nippon taiouanus,36.5472778,127.8376111
Cervus nippon taiouanus,36.5157222,127.8235
Cervus nippon taiouanus,36.5159167,127.8222222
Cervus nippon taiouanus,36.56011111,127.8454722
Cervus nippon taiouanus,36.51725,127.8714444
Cervus nippon taiouanus,36.54675,127.8344444
Cervus nippon taiouanus,36.54675,127.8560556
Cervus nippon taiouanus,36.55966667,127.8445278
Cervus nippon taiouanus,36.54741667,127.8370556
Cervus nippon taiouanus,36.57358333,127.8899722
Cervus nippon taiouanus,36.55358333,127.8415556
Cervus nippon taiouanus,36.54844444,127.8336944
Cervus nippon taiouanus,36.56025,127.8380556
Cervus nippon taiouanus,36.50483333,127.8906944
Cervus nippon taiouanus,36.49883333,127.8779722
Cervus nippon taiouanus,36.55730556,127.8326667
